token,mean_sentiment_rating,standard deviation
disputing,-1.7,0.64031
disqualified,-1.8,0.6
disregarded,-1.6,0.4899
disrespect,-1.8,0.6
disrespected,-2.0,0.63246
disruption,-1.5,0.67082
dissatisfaction,-2.2,0.74833
dissatisfactions,-1.9,0.83066
dissatisfactory,-2.0,0.63246
dissatisfied,-1.6,0.66332
dissatisfies,-1.8,0.74833
dissatisfy,-2.2,0.6
dissatisfying,-2.4,0.91652
distorted,-1.7,0.78102
distractible,-1.5,0.92195
distraction,-1.6,0.66332
distractive,-1.6,0.4899
distraught,-2.6,0.8
distress,-2.4,0.8
distressed,-1.8,0.6
distresses,-1.6,0.66332
distressful,-2.2,0.6
distressfully,-1.7,1.1
distressfulness,-2.4,0.66332
distressing,-1.7,1.18743
distressingly,-2.2,0.74833
distrust,-1.8,0.87178
distrusted,-2.4,0.66332
distrustful,-2.1,0.83066
distrustfully,-1.8,0.6
distrustfulness,-1.6,0.66332
distrusting,-2.1,0.83066
disturb,-1.7,0.45826
disturbance,-1.6,0.8
disturbed,-1.6,0.4899
disturbers,-2.1,0.53852
disturbing,-2.3,0.45826
disturbingly,-2.3,0.78102
disturbs,-1.9,0.53852
divination,1.7,1.1
divinatory,1.6,1.42829
divine,2.6,0.8
divinely,2.9,0.7
divinest,2.7,0.78102
divinities,1.8,1.46969
divinity,2.7,1.00499
divinize,2.3,1.00499
dolorous,-2.2,0.6
doom,-1.7,1.26886
doomed,-3.2,0.74833
doomful,-2.1,0.7
dooming,-2.8,0.4
doomsayers,-1.7,0.78102
doomsaying,-1.5,1.28452
doomsayings,-1.5,0.92195
doomsday,-2.8,1.249
doomsdayer,-2.2,1.249
doomster,-2.2,0.87178
doomsters,-1.6,0.8
doubt,-1.5,0.5
doubtable,-1.5,0.5
doubter,-1.6,0.91652
douchebag,-3.0,0.44721
downcast,-1.8,0.74833
downhearted,-2.3,0.78102
drained,-1.5,0.5
dread,-2.0,0.63246
dreaded,-2.7,0.64031
dreadfully,-2.7,1.26886
dreadfulness,-3.2,0.87178
dreadfuls,-2.4,1.2
dreading,-2.4,0.8
dreams,1.7,1.1
drown,-2.7,1.00499
drowned,-2.9,0.7
dubious,-1.5,0.5
dull,-1.7,0.45826
dullard,-1.6,0.66332
dullards,-1.8,0.87178
dulled,-1.5,0.5
duller,-1.7,0.64031
dullest,-1.7,1.00499
dullnesses,-1.9,1.04403
dullsville,-2.4,0.8
dumb,-2.3,0.9
dumbass,-2.6,1.0198
dumber,-1.5,0.5
dumbest,-2.3,1.00499
dumbfounded,-1.6,1.11355
dumbhead,-2.6,0.66332
dumbheads,-1.9,0.83066
dumbness,-1.9,0.53852
dumbs,-1.5,0.67082
dump,-1.6,0.91652
dumped,-1.7,0.78102
dumpiest,-1.6,1.35647
dumpish,-1.8,0.6
dumps,-1.7,0.9
dumpy,-1.7,0.78102
dupe,-1.5,0.5
duped,-1.8,0.4
dynamic,1.6,0.8
dynamically,1.5,1.0247
dynamism,1.6,1.11355
dynamistic,1.5,1.0247
dysfunction,-1.8,0.6
eager,1.5,0.67082
eagerly,1.6,0.66332
eagerness,1.7,0.45826
eagers,1.6,0.66332
earnest,2.3,0.64031
ease,1.5,0.92195
easeful,1.5,1.0247
easement,1.6,0.91652
easier,1.8,0.9798
easiest,1.8,1.07703
easiness,1.6,0.66332
easy,1.9,1.04403
easygoingness,1.5,0.67082
ecstacy,3.3,1.18743
ecstasies,2.3,1.34536
ecstatic,2.3,1.34536
ecstatics,2.9,0.83066
eerie,-1.5,0.67082
effective,2.1,0.83066
effectively,1.9,0.7
efficiencies,1.6,0.4899
efficiency,1.5,0.5
efficient,1.8,0.9798
efficiently,1.7,0.78102
effin,-2.3,1.18743
egotist,-2.3,0.9
egotistically,-1.8,0.87178
egotists,-1.7,0.78102
elated,3.2,0.74833
elation,1.5,1.43178
elegance,2.1,0.53852
elegances,1.8,0.6
elegancies,1.6,1.0198
elegancy,2.1,0.53852
elegant,2.1,0.83066
elegantly,1.9,0.83066
embarrassable,-1.6,0.8
embarrassed,-1.5,0.67082
embarrasses,-1.7,0.78102
embarrassing,-1.6,0.8
embarrassingly,-1.7,0.64031
embarrassment,-1.9,0.53852
embarrassments,-1.7,0.64031
empathetic,1.7,1.1
emptiest,-1.8,1.07703
emptiness,-1.9,0.7
emptinesses,-1.5,1.11803
enchanted,1.6,0.8
encourage,2.3,0.78102
encouraged,1.5,0.5
encouragement,1.8,0.9798
encouragements,2.1,0.7
encourager,1.5,0.5
encouragers,1.5,0.5
encourages,1.9,0.53852
encouraging,2.4,0.66332
encouragingly,2.0,0.7746
enemies,-2.2,0.6
enemy,-2.5,0.92195
energetic,1.9,0.53852
energetically,1.8,0.6
energise,2.2,0.4
energised,2.1,0.53852
energises,2.2,0.6
energising,1.9,0.7
energization,1.6,0.66332
energizations,1.5,1.11803
energize,2.1,0.7
energized,2.3,0.64031
energizer,2.1,0.53852
energizers,1.7,0.9
energizes,2.1,0.53852
energizing,2.0,0.63246
engaged,1.7,1.1
engagement,2.0,1.34164
engagingly,1.5,0.67082
enjoyable,1.9,0.53852
enjoyableness,1.9,1.13578
enjoyably,1.8,0.4
enjoyed,2.3,0.64031
enjoyer,2.2,0.6
enjoyers,2.2,0.74833
enjoying,2.4,0.66332
enjoyment,2.6,0.4899
enjoyments,2.0,0.7746
enjoys,2.3,0.45826
enlighten,2.3,1.1
enlightened,2.2,0.87178
enlightening,2.3,0.64031
enlightens,1.7,1.00499
enrage,-2.6,0.91652
enraging,-2.8,0.74833
enrapture,3.0,0.63246
enslave,-3.1,0.9434
ensure,1.6,0.91652
enterprising,2.3,0.78102
entertained,1.7,0.64031
entertainer,1.6,1.2
entertaining,1.9,0.83066
entertainingly,1.9,0.53852
entertainment,1.8,0.9798
entertainments,2.3,1.18743
entertains,2.4,0.66332
enthuse,1.6,0.66332
enthused,2.0,0.63246
enthuses,1.7,0.78102
enthusiasm,1.9,0.9434
enthusiasms,2.0,0.89443
enthusiast,1.5,0.67082
enthusiastic,2.2,0.9798
enthusiastically,2.6,0.66332
enthusing,1.9,0.7
erroneous,-1.8,0.6
error,-1.7,0.64031
esteemed,1.9,0.83066
ethical,2.3,0.78102
euphoria,3.3,0.9
euphoric,3.2,0.87178
eviction,-2.0,0.63246
evil,-3.4,0.91652
evildoer,-3.1,0.7
evildoers,-2.4,0.4899
evildoing,-3.1,0.7
evildoings,-2.5,1.0247
eviler,-2.1,1.13578
evilest,-2.5,1.0247
eviller,-2.9,0.83066
evillest,-3.3,0.78102
evilly,-3.4,0.8
evilness,-3.1,1.04403
evils,-2.7,0.78102
excel,2.0,1.0
excelled,2.2,0.87178
excellence,3.1,0.9434
excellences,2.5,0.92195
excellencies,2.4,0.4899
excellency,2.5,0.80623
excellent,2.7,0.64031
excellently,3.1,0.7
excelling,2.5,0.67082
excels,2.5,0.92195
excitabilities,1.5,1.0247
excitable,1.5,0.92195
excitant,1.8,1.16619
excitation,1.8,0.87178
excitations,1.8,1.16619
excite,2.1,1.22066
excitedly,2.3,0.9
excitement,2.2,0.4
excitements,1.9,0.53852
exciter,1.9,0.9434
excites,2.1,0.83066
exciting,2.2,0.87178
excitingly,1.9,0.9434
excruciate,-2.7,0.64031
excruciating,-3.3,0.9
excruciatingly,-2.9,1.04403
excruciation,-3.4,0.66332
exhausted,-1.5,1.28452
exhausting,-1.5,0.5
exhaustion,-1.5,0.92195
exhilarated,3.0,0.63246
exhilarates,2.8,1.07703
exonerate,1.8,0.74833
expel,-1.9,1.44568
expelling,-1.6,1.49666
expels,-1.6,1.11355
exploited,-2.0,1.0
exploiting,-1.9,1.22066
exuberant,2.8,0.6
exultant,3.0,1.18322
fab,2.0,1.0
fabulous,2.4,0.8
fabulousness,2.8,1.07703
fag,-2.1,0.83066
faggot,-3.4,0.8
faggots,-3.2,0.9798
fail,-2.5,0.67082
failed,-2.3,0.9
failing,-2.3,1.1
failings,-2.2,1.07703
fails,-1.8,0.74833
failure,-2.3,1.00499
failures,-2.0,0.63246
faith,1.8,0.6
faithful,1.9,0.83066
faithfully,1.8,1.07703
faithfulness,1.9,0.53852
faithlessness,-1.8,1.249
faiths,1.8,0.9798
fake,-2.1,0.9434
fakes,-1.8,1.07703
faking,-1.8,0.87178
fallen,-1.5,0.80623
falsified,-1.6,0.91652
falsify,-2.0,0.7746
fame,1.9,1.13578
fantastic,2.6,0.91652
fantastical,2.0,1.18322
fantasticalities,2.1,1.04403
fantasticality,1.7,1.26886
farce,-1.7,0.45826
fascinate,2.4,1.0198
fascinated,2.1,0.83066
fascinates,2.0,0.44721
fascination,2.2,0.74833
fascinating,2.5,0.92195
fascist,-2.6,0.8
fatalisms,-1.7,0.9
fatalities,-2.9,0.7
fatality,-3.5,0.67082
fatally,-3.2,0.74833
fatiguingly,-1.5,0.80623
fault,-1.7,0.64031
faultfinders,-1.5,0.80623
faultfinding,-2.1,0.83066
faultier,-2.1,0.7
faultiest,-2.1,0.53852
faultily,-2.0,0.89443
faultiness,-1.5,0.92195
faultless,2.0,1.41421
faultlessly,2.0,1.09545
faults,-2.1,0.3
fav,2.0,0.63246
favor,1.7,0.64031
favorable,2.1,0.7
favorableness,2.2,0.87178
favorably,1.6,0.66332
favored,1.8,0.6
favoring,1.8,0.6
favorite,2.0,0.63246
favorited,1.7,0.45826
favorites,1.8,0.6
favour,1.9,0.53852
favoured,1.8,0.4
favourer,1.6,0.4899
favourers,1.6,0.66332
favours,1.8,0.6
fear,-2.2,0.6
feared,-2.2,0.6
fearful,-2.2,0.87178
fearfuller,-2.2,0.87178
fearfullest,-2.5,1.0247
fearfully,-2.2,0.87178
fearfulness,-1.8,0.87178
fearing,-2.7,0.9
fearless,1.9,0.83066
fears,-1.8,0.6
fearsome,-1.7,0.64031
fed up,-1.8,1.249
felonies,-2.5,0.5
felony,-2.5,1.36015
festival,2.2,0.6
festivals,1.5,1.11803
festive,2.0,0.63246
festively,2.2,0.6
festiveness,2.4,0.8
festivities,2.1,0.7
festivity,2.2,1.07703
feuded,-2.2,0.6
feuding,-1.6,0.66332
fiasco,-2.3,0.64031
fiesta,2.1,0.7
fiestas,1.5,1.0247
fighting,-1.5,1.11803
fightings,-1.9,0.53852
fights,-1.7,0.64031
fired,-2.6,0.91652
fit,1.5,1.0247
flawed,-2.1,0.99443
flirtation,1.7,0.64031
flu,-1.6,0.8
flunked,-2.1,0.9434
flunker,-1.9,1.04403
flunkers,-1.6,0.8
flunkey,-1.8,0.9798
flunking,-1.5,0.92195
flunks,-1.8,1.32665
flunky,-1.8,1.4
focused,1.6,0.91652
foe,-1.9,1.22066
foeman,-1.8,0.6
foes,-2.0,0.89443
foetid,-2.3,1.41774
foetor,-3.0,0.89443
foetors,-2.1,1.04403
fond,1.9,0.83066
fondly,1.9,0.7
fondness,2.5,0.67082
fool,-1.9,0.53852
fooled,-1.6,0.4899
fooleries,-1.8,1.07703
foolery,-1.8,0.87178
foolhardier,-1.5,0.67082
foolhardiness,-1.6,0.66332
fooling,-1.7,0.64031
foolisher,-1.7,0.64031
foolishly,-1.8,0.6
foolishness,-1.8,0.6
foolishnesses,-2.0,0.89443
foolproof,1.6,0.91652
fools,-2.2,0.74833
forbidden,-1.8,0.74833
forbidder,-1.6,0.66332
forbidders,-1.5,0.80623
forbidding,-1.9,0.7
forbiddingly,-1.9,0.53852
forced,-2.0,0.63246
foreclosures,-2.4,0.66332
forgivable,1.7,0.64031
forgivably,1.6,0.66332
forgiven,1.6,0.66332
forgiver,1.7,0.78102
forgives,1.7,0.78102
forgiving,1.9,0.7
forgivingness,1.8,0.6
fortunate,1.9,0.53852
foughten,-1.9,1.3
frantic,-1.9,0.7
fraud,-2.8,0.6
frauds,-2.3,0.45826
fraudster,-2.5,0.92195
fraudsters,-2.4,0.91652
fraudulence,-2.3,0.78102
fraudulent,-2.2,0.6
freak,-1.9,0.9434
freakiest,-1.6,1.0198
freaking,-1.8,1.16619
freakish,-2.1,1.37477
freakouts,-1.5,0.92195
freaky,-1.5,1.20416
free,2.3,0.9
freebie,1.8,0.9798
freebies,1.8,0.9798
freebooter,-1.7,1.00499
freed,1.7,1.34536
freedom,3.2,0.9798
freehearted,1.5,0.67082
freeing,2.1,1.04403
freeload,-1.9,1.04403
freeloaded,-1.6,0.8
freely,1.9,0.53852
freeman,1.7,0.78102
freemen,1.5,0.67082
freeness,1.6,0.66332
freenesses,1.7,0.78102
freest,1.6,1.28062
freezingly,-1.6,0.4899
friend,2.2,0.6
friended,1.7,0.78102
friending,1.8,1.07703
friendless,-1.5,0.67082
friendlier,2.0,0.63246
friendlies,2.2,0.74833
friendliest,2.6,0.91652
friendlily,1.8,0.74833
friendliness,2.0,0.7746
friendly,2.2,0.6
friends,2.1,0.53852
friendship,1.9,0.53852
friendships,1.6,0.91652
fright,-1.6,1.35647
frightened,-1.9,0.7
frightening,-2.2,0.9798
frighteningly,-2.1,0.7
frightens,-1.7,0.78102
frightful,-2.3,0.78102
frightfully,-1.7,0.78102
frightfulness,-1.9,0.7
frighting,-1.5,0.67082
frustrate,-2.0,0.63246
frustrated,-2.4,0.66332
frustrates,-1.9,0.7
frustrating,-1.9,0.83066
frustratingly,-2.0,0.63246
frustration,-2.1,0.7
frustrations,-2.0,0.7746
fuck,-2.5,1.20416
fucked,-3.4,0.66332
fucker,-3.3,0.78102
fuckers,-2.9,0.9434
fuckface,-3.2,1.07703
fuckhead,-3.1,1.04403
fucks,-2.1,1.13578
fucktard,-3.1,0.9434
fuked,-2.5,0.92195
fuking,-3.2,0.9798
fulfill,1.9,1.04403
fulfilled,1.8,0.87178
fumed,-1.8,0.87178
fuming,-2.7,0.64031
fun,2.3,0.45826
funned,2.3,0.9
funner,2.2,0.74833
funnest,2.9,0.7
funnier,1.7,1.00499
funniest,2.6,0.8
funnily,1.9,0.53852
funniness,1.8,0.9798
funninesses,1.6,0.91652
funning,1.8,0.9798
funny,1.9,0.53852
furious,-2.7,1.41774
furiously,-1.9,1.04403
fury,-2.7,0.78102
futile,-1.9,0.83066
gain,2.4,0.4899
gained,1.6,0.66332
gaining,1.8,0.4
gallant,1.7,1.1
gallantly,1.9,0.53852
gallantry,2.6,0.8
generosities,2.6,0.4899
generosity,2.3,0.64031
generous,2.3,0.78102
generously,1.8,0.74833
generousness,2.4,0.91652
genial,1.8,0.6
gentle,1.9,0.53852
gentlest,1.8,0.4
gently,2.0,0.7746
gift,1.9,0.53852
giggle,1.8,0.9798
giggled,1.5,1.20416
giggliest,1.7,1.26886
giggling,1.5,0.5
givers,1.7,1.34536
glad,2.0,0.63246
glamor,2.1,0.9434
glamorised,1.8,0.74833
glamorises,2.1,1.04403
glamorization,1.6,0.91652
glamorize,1.7,1.1
glamorized,2.1,1.04403
glamorizer,2.4,1.0198
glamorizers,1.6,1.11355
glamorizes,2.4,1.2
glamorizing,1.8,1.16619
glamorous,2.3,0.78102
glamorously,2.1,1.04403
glamour,2.4,0.91652
glamourless,-1.6,1.49666
glamourous,2.0,0.7746
glamours,1.9,0.83066
glee,3.2,0.4
gleeful,2.9,0.53852
gloom,-2.6,0.66332
gloomed,-1.9,0.7
gloomful,-2.1,0.9434
gloomier,-1.5,1.20416
gloominess,-1.8,0.6
glooming,-1.8,0.74833
gloried,2.4,1.0198
glories,2.1,1.3
glorification,2.0,0.89443
glorified,2.3,0.9
glorifier,2.3,1.00499
glorifiers,1.6,1.0198
glorifies,2.2,0.9798
glorify,2.7,0.78102
glorifying,2.4,1.28062
gloriole,1.5,1.36015
glorious,3.2,0.6
gloriously,2.9,0.83066
gloriousness,2.6,1.0198
glory,2.5,0.80623
glum,-2.1,0.7
goddam,-2.5,1.28452
goddammed,-2.4,0.91652
godsend,2.8,0.87178
gorgeous,3.0,0.63246
gorgeously,2.3,0.78102
gorgeousness,2.9,0.9434
gorgeousnesses,2.1,0.7
gossiping,-1.6,0.4899
gossipping,-1.8,0.6
grace,1.8,0.4
graceful,2.0,0.63246
gracefuller,2.2,0.74833
gracefullest,2.8,0.74833
gracefully,2.4,0.66332
gracefulness,2.2,0.6
graces,1.6,0.4899
gracile,1.7,0.78102
gracious,2.6,0.8
graciously,2.3,0.9
graciousness,2.4,0.66332
grand,2.0,0.63246
grander,1.7,0.9
grandest,2.4,1.2
grandeur,2.4,1.11355
grandeurs,2.1,1.3
grant,1.5,0.80623
grateful,2.0,0.63246
gratefuller,1.8,0.87178
gratefully,2.1,0.53852
gratefulness,2.2,0.6
gratification,1.6,0.8
gratifications,1.8,0.4
gratified,1.6,0.91652
gratifies,1.5,0.80623
gratifying,2.3,0.45826
gratifyingly,2.0,0.63246
gratitude,2.3,0.64031
gratz,2.0,0.89443
gravely,-1.5,1.0247
graveness,-1.5,0.67082
gravesides,-1.6,1.2
greater,1.5,0.67082
greatest,3.2,0.74833
greedier,-2.0,0.63246
greediest,-2.8,0.87178
greedily,-1.9,1.22066
greediness,-1.7,1.00499
greenwash,-1.8,1.4
greeting,1.6,0.4899
greetings,1.8,1.07703
grief,-2.2,0.6
grievance,-2.1,0.53852
grievances,-1.5,0.5
grieve,-1.6,1.49666
grieved,-2.0,0.89443
griever,-1.9,0.83066
grieves,-2.1,0.9434
grieving,-2.3,1.1
grievousness,-2.7,0.78102
grim,-2.7,0.64031
grimaced,-2.0,0.63246
grimaces,-1.8,0.74833
grime,-1.5,0.92195
grimier,-1.6,1.0198
griminess,-1.6,0.4899
grimmer,-1.5,1.36015
grimy,-1.8,0.87178
grin,2.1,0.83066
grinners,1.6,0.8
grinning,1.5,1.0247
grossest,-2.1,0.83066
grossness,-1.8,0.6
grouch,-2.2,0.87178
grouchier,-2.0,0.63246
grouchiest,-2.3,0.78102
grouchiness,-2.0,0.7746
grouching,-1.7,1.1
grouchy,-1.9,0.7
growth,1.6,1.0198
guiltier,-2.0,0.63246
guiltiness,-1.8,0.6
guilty,-1.8,0.6
gullibility,-1.6,0.66332
gullible,-1.5,0.67082
hacked,-1.7,1.00499
haha,2.0,0.89443
hahaha,2.6,1.0198
hahas,1.8,0.9798
hallelujah,3.0,0.7746
handsome,2.2,0.74833
handsomely,1.9,0.7
handsomeness,2.4,1.28062
handsomer,2.0,0.63246
handsomest,2.6,0.91652
happier,2.4,0.66332
happiest,3.2,0.74833
happily,2.6,0.91652
happiness,2.6,0.4899
harass,-2.2,0.6
harassed,-2.5,0.80623
harasser,-2.4,0.8
harassers,-2.8,0.6
harasses,-2.5,0.80623
harassment,-2.5,0.67082
harassments,-2.6,0.4899
hardy,1.7,1.00499
harm,-2.5,0.80623
harmed,-2.1,0.83066
harmfully,-2.6,0.91652
harmfulness,-2.6,0.8
harming,-2.6,0.66332
harmonic,1.8,0.87178
harmonically,2.1,1.13578
harmonics,1.5,1.0247
harmonious,2.0,1.09545
harmoniously,1.9,0.9434
harmoniousness,1.8,0.6
harmonise,1.8,0.74833
harmonization,1.9,0.83066
harmonize,1.7,0.78102
harmonized,1.6,0.91652
harmonizer,1.6,0.8
harmonizers,1.6,1.11355
harmonizes,1.5,0.92195
harmony,1.7,0.45826
harsh,-1.9,0.7
harsher,-2.2,0.6
harshest,-2.9,0.83066
hated,-3.2,0.6
hateful,-2.2,1.249
hatefully,-2.3,0.78102
hatefulness,-3.6,0.4899
hater,-1.8,0.6
haters,-2.2,0.6
hates,-1.9,0.7
hating,-2.3,1.1
hatred,-3.2,0.9798
haunt,-1.7,1.00499
haunted,-2.1,0.7
havoc,-2.9,0.7
healthy,1.7,0.9
heartbreak,-2.7,0.78102
heartbreaker,-2.2,1.07703
heartbreakers,-2.1,0.9434
heartbroken,-3.3,0.45826
heartfelt,2.5,0.5
heartless,-2.2,0.74833
heartlessly,-2.8,0.6
heartlessness,-2.8,0.87178
heartwarming,2.1,1.22066
heaven,2.3,1.18743
heavenlier,3.0,0.63246
heavenliest,2.7,1.1
heavenliness,2.7,0.9
heavenly,3.0,0.63246
heavens,1.7,1.18743
heavyhearted,-2.1,0.83066
hell,-3.6,0.66332
hellish,-3.2,0.74833
help,1.7,0.78102
helpful,1.8,0.87178
helpfully,2.3,0.9
helpfulness,1.9,1.13578
helpless,-2.0,0.63246
helplessness,-2.1,0.9434
helplessnesses,-1.7,0.64031
helps,1.6,0.4899
hero,2.6,0.8
heroes,2.3,0.9
heroic,2.6,0.8
heroical,2.9,1.04403
heroically,2.4,0.8
heroics,2.4,0.8
heroine,2.7,1.1
heroines,1.8,1.32665
heroism,2.8,0.6
heroisms,2.2,0.87178
heroize,2.1,0.7
heroized,2.0,1.18322
heroizes,2.2,0.9798
hesitatingly,-1.5,0.80623
hilarious,1.7,1.41774
hindrance,-1.7,0.78102
holiday,1.7,1.18743
holidays,1.6,1.0198
homesickness,-1.8,1.249
homesicknesses,-1.8,0.6
honest,2.3,0.9
honester,1.9,0.7
honestest,3.0,0.7746
honesties,1.8,1.07703
honestly,2.0,0.63246
honesty,2.2,0.6
honor,2.2,1.16619
honorability,2.2,0.4
honorable,2.5,0.67082
honorableness,2.2,0.87178
honorably,2.4,0.66332
honoraries,1.5,1.5
honorarily,1.9,0.7
honored,2.8,0.87178
honoree,2.1,0.7
honorees,2.3,0.78102
honorer,1.7,0.78102
honorifically,2.2,0.74833
honorifics,1.7,0.78102
honoring,2.3,0.64031
honors,2.3,0.64031
honour,2.7,0.78102
honourable,2.1,0.53852
honoured,2.2,1.249
honourer,1.8,0.87178
honourers,1.6,1.0198
honouring,2.1,0.3
honours,2.2,0.87178
hooligan,-1.5,0.5
hooliganism,-2.1,0.83066
hooray,2.3,0.9
hope,1.9,0.53852
hoped,1.6,0.4899
hopeful,2.3,0.78102
hopefully,1.7,0.78102
hopefulness,1.6,1.35647
hopelessly,-2.2,0.74833
hopelessness,-3.1,0.7
hopes,1.8,0.6
hoping,1.8,0.4
horrendous,-2.8,0.87178
horrible,-2.5,0.67082
horribleness,-2.4,0.4899
horribles,-2.1,0.7
horribly,-2.4,0.66332
horrid,-2.5,1.0247
horridness,-2.3,1.26886
horridnesses,-3.0,1.09545
horrific,-3.4,0.91652
horrifically,-2.9,0.7
horrified,-2.5,0.92195
horrifies,-2.9,1.22066
horrify,-2.5,0.67082
horrifying,-2.7,0.9
horrifyingly,-3.3,0.9
horror,-2.7,1.1
horrors,-2.7,0.64031
hostilely,-2.2,0.6
hostilities,-2.1,0.53852
hostility,-2.5,0.80623
hug,2.1,1.04403
huggable,1.6,0.66332
hugged,1.7,0.78102
hugger,1.6,0.91652
huggers,1.8,0.6
hugging,1.8,0.74833
hugs,2.2,0.74833
humiliate,-2.5,1.28452
humiliatingly,-2.6,0.4899
humiliation,-2.7,0.78102
humiliations,-2.4,0.66332
humoring,2.1,0.7
humoristic,1.5,0.80623
humorous,1.6,0.4899
humorously,2.3,0.78102
humorousness,2.4,0.66332
humors,1.6,0.4899
humour,2.1,0.9434
humouring,1.7,0.78102
humourous,2.0,0.7746
hurrah,2.6,0.8
hurrahed,1.9,0.53852
hurrahing,2.4,0.4899
hurrahs,2.1,1.44568
hurray,2.7,0.78102
hurrayed,1.8,1.32665
hurrays,2.4,1.11355
hurt,-2.4,0.8
hurter,-2.3,0.78102
hurters,-1.9,1.04403
hurtful,-2.4,1.0198
hurtfully,-2.6,0.66332
hurting,-1.7,0.78102
hurts,-2.1,0.83066
hypocritical,-2.0,0.89443
hysteria,-1.9,0.7
ideal,2.4,1.2
idealess,-1.9,1.3
idealised,2.1,0.83066
idealises,2.0,0.89443
idealism,1.7,1.1
idealistic,1.8,0.9798
idealistically,1.7,1.1
idealities,1.5,0.67082
ideality,1.9,0.9434
idealization,1.8,0.9798
idealized,1.8,0.74833
idealizers,1.9,1.37477
idealizes,2.0,1.0
idealless,-1.7,1.00499
ideally,1.8,1.16619
idiot,-2.3,0.64031
idiotic,-2.6,0.91652
ignorami,-1.9,0.83066
ignoramus,-1.9,0.83066
ignoramuses,-2.3,1.1
ignorance,-1.5,1.20416
ignorantly,-1.6,0.91652
ignore,-1.5,0.67082
ignoring,-1.7,0.64031
ill,-1.8,0.9798
illegal,-2.6,0.8
illiteracy,-1.9,0.7
illness,-1.7,0.64031
illnesses,-2.2,0.74833
imbecile,-2.2,0.9798
immoral,-2.0,1.09545
immoralism,-1.6,0.91652
immoralist,-2.1,0.3
immoralists,-1.7,0.78102
immorally,-2.1,0.7
impatience,-1.8,0.4
impatiently,-1.7,0.64031
impolite,-1.6,0.66332
impolitely,-1.8,0.6
impoliteness,-1.8,0.87178
impolitenesses,-2.3,0.78102
importance,1.5,0.80623
impress,1.9,0.53852
impressed,2.1,0.3
impresses,2.1,0.3
impressing,2.5,0.92195
impressionistic,1.5,1.20416
impressionistically,1.6,0.8
impressive,2.3,0.78102
impressively,2.0,0.89443
impressiveness,1.7,0.64031
imprisoned,-2.0,1.0
improve,1.9,0.7
improved,2.1,0.7
improvement,2.0,0.63246
improver,1.8,0.6
improves,1.8,1.07703
improving,1.8,0.4
inability,-1.7,0.9
inadequacies,-1.7,0.64031
inadequacy,-1.7,0.78102
inadequate,-1.7,0.64031
inadequateness,-1.7,0.45826
inadequatenesses,-1.6,0.91652
incapable,-1.6,0.4899
incapacitated,-1.9,0.9434
incensed,-2.0,1.0
incentive,1.5,1.0247
incompetence,-2.3,0.45826
incompetent,-2.1,0.83066
inconsiderate,-1.9,0.7
inconvenience,-1.5,0.5
indignant,-1.8,0.74833
indignation,-2.4,0.8
ineffectuality,-1.6,0.66332
infected,-2.2,0.6
inferior,-1.7,0.78102
inferiorities,-1.9,0.7
inferiorly,-2.0,0.63246
influential,1.9,1.04403
infringement,-2.1,0.83066
infuriate,-2.2,0.87178
infuriated,-3.0,0.7746
infuriates,-2.6,0.8
infuriating,-2.4,1.42829
inhibit,-1.6,0.4899
inhibition,-1.5,0.67082
injured,-1.7,0.64031
injury,-1.8,0.6
injustice,-2.7,0.64031
innocence,1.6,0.91652
innocency,1.9,0.83066
innovate,2.2,0.74833
innovates,2.0,0.89443
innovation,1.6,0.91652
innovative,1.9,0.83066
insane,-1.7,0.78102
insanity,-2.7,1.00499
insecure,-1.8,0.74833
insecureness,-1.8,0.87178
insecurities,-1.8,0.6
insecurity,-1.8,0.74833
insensitivity,-1.8,0.6
insincere,-1.8,0.6
insincerely,-1.9,0.7
insipid,-2.0,0.7746
inspiration,2.4,0.8
inspirational,2.3,0.64031
inspirationally,2.3,0.64031
inspirations,2.1,0.53852
inspirator,1.9,1.22066
inspiratory,1.5,0.67082
inspire,2.7,0.78102
inspired,2.2,0.87178
inspirer,2.2,1.07703
inspirers,2.0,0.63246
inspires,1.9,1.04403
inspiring,1.8,1.07703
inspiringly,2.6,0.4899
inspirit,1.9,0.7
inspiriting,1.8,0.4
inspiritingly,2.1,1.44568
insult,-2.3,1.00499
insulted,-2.3,0.45826
insulter,-2.0,0.63246
insulters,-2.0,0.44721
insulting,-2.2,0.74833
insultingly,-2.3,0.78102
insults,-1.8,0.6
integrity,1.6,0.66332
intellect,2.0,1.09545
intellective,1.7,0.78102
intellects,1.8,0.87178
intellectual,2.3,0.9
intellectualism,2.2,1.07703
intellectualist,2.0,1.0
intellectualities,1.7,1.34536
intellectuality,1.7,1.1
intellectualization,1.5,1.11803
intellectualize,1.5,0.92195
intellectualizes,1.8,0.87178
intellectualness,1.5,0.80623
intellectuals,1.6,0.8
intelligence,2.1,0.9434
intelligencer,1.5,0.80623
intelligencers,1.6,0.91652
intelligences,1.6,0.91652
intelligent,2.0,0.7746
intelligential,1.9,0.9434
intelligently,2.0,0.63246
intelligentsia,1.5,1.20416
intelligibility,1.5,0.80623
intelligibleness,1.5,1.20416
interest,2.0,1.18322
interested,1.7,0.45826
interestedly,1.5,0.67082
interesting,1.7,0.78102
interestingly,1.7,0.45826
interestingness,1.8,0.87178
interrogated,-1.6,1.0198
interruption,-1.5,0.67082
